../../../pdielec -processors 4 -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -optical_tensor 2.3471 0 0.0786 0 2.3942 0 0.0786 0 2.2621 -csv command.csv -masses program LEUCINE_FREQUENCY_PBED3_631Gdp_FULLOPTIMIZATON.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
 162, 1353.57,         0.495960,                2095.729900,   266.8366,     5.0
 163, 1354.21,         0.961416,                4062.558497,   517.2610,     5.0
 164, 1359.73,         0.096243,                 406.683368,    51.7805,     5.0
 165, 1363.95,         0.933118,                3942.983190,   502.0362,     5.0
 166, 1368.73,         3.006417,               12703.916563,  1617.5129,     5.0
 167, 1370.86,         1.548806,                6544.633620,   833.2886,     5.0
 168, 1378.03,         0.212659,                 898.611298,   114.4147,     5.0
 169, 1378.47,         0.421657,                1781.752748,   226.8598,     5.0
 170, 1382.26,         0.594263,                2511.118550,   319.7255,     5.0
 171, 1382.26,         0.132792,                 561.127562,    71.4450,     5.0
 172, 1409.15,         3.206402,               13548.972451,  1725.1088,     5.0
 173, 1409.81,        12.625235,               53349.191892,  6792.6301,     5.0
 174, 1417.39,         4.830105,               20410.090861,  2598.6935,     5.0
 175, 1420.70,         1.141817,                4824.860153,   614.3203,     5.0
 176, 1431.28,         0.110523,                 467.027464,    59.4638,     5.0
 177, 1433.07,         1.772421,                7489.543056,   953.5982,     5.0
 178, 1440.68,         0.417255,                1763.151402,   224.4914,     5.0
 179, 1441.10,         0.402511,                1700.850103,   216.5590,     5.0
 180, 1442.10,         2.282587,                9645.298429,  1228.0775,     5.0
 181, 1446.16,         0.448158,                1893.735509,   241.1179,     5.0
 182, 1447.73,         0.361394,                1527.107838,   194.4374,     5.0
 183, 1449.47,         0.055094,                 232.805284,    29.6417,     5.0
 184, 1454.09,         1.160576,                4904.128557,   624.4130,     5.0
 185, 1455.62,         0.001000,                   4.223961,     0.5378,     5.0
 186, 1456.62,         0.096924,                 409.563089,    52.1472,     5.0
 187, 1457.68,         0.628929,                2657.604438,   338.3767,     5.0
 188, 1462.68,         0.141229,                 596.777623,    75.9841,     5.0
 189, 1464.23,         0.347979,                1470.418027,   187.2194,     5.0
 190, 1466.08,         0.282714,                1194.635492,   152.1057,     5.0
 191, 1468.82,         0.164166,                 693.699326,    88.3245,     5.0
 192, 1469.81,         0.035244,                 148.925802,    18.9618,     5.0
 193, 1473.75,         0.472859,                1998.111533,   254.4075,     5.0
 194, 1473.76,         0.358198,                1513.603246,   192.7180,     5.0
 195, 1480.96,         0.477752,                2018.789874,   257.0403,     5.0
 196, 1509.74,         1.986266,                8393.167263,  1068.6512,     5.0
 197, 1517.93,        19.846551,               83863.585281, 10677.8433,     5.0
 198, 1519.03,         5.174165,               21863.953670,  2783.8050,     5.0
 199, 1521.11,         2.780582,               11749.626222,  1496.0089,     5.0
 200, 1575.03,        38.865226,              164228.897521, 20910.2727,     5.0
 201, 1593.50,        13.405516,               56646.346857,  7212.4369,     5.0
 202, 1603.63,        16.836273,               71143.353324,  9058.2531,     5.0
 203, 1620.66,         5.619975,               23747.765111,  3023.6594,     5.0
 204, 1628.97,         1.203522,                5085.602090,   647.5190,     5.0
 205, 1639.08,         9.566336,               40423.508317,  5146.8809,     5.0
 206, 1642.99,         6.542302,               27645.152114,  3519.8901,     5.0
 207, 1658.15,         0.381267,                1611.080598,   205.1292,     5.0
 208, 1660.55,         0.136265,                 575.801948,    73.3134,     5.0
 209, 1663.52,         4.375326,               18488.379600,  2354.0136,     5.0
 210, 1681.57,         0.101693,                 429.715818,    54.7131,     5.0
 211, 1681.64,         0.916375,                3872.235247,   493.0283,     5.0
 212, 2635.13,         9.401283,               39726.062151,  5058.0793,     5.0
 213, 2673.52,       134.402450,              567930.991871, 72311.2198,     5.0
 214, 2915.72,        15.597874,               65910.377990,  8391.9700,     5.0
 215, 2936.72,        40.071058,              169324.261061, 21559.0345,     5.0
 216, 2966.92,         0.618452,                2613.332704,   332.7399,     5.0
 217, 2971.51,         7.913770,               33440.424780,  4257.7671,     5.0
 218, 2971.81,         0.221550,                 936.183540,   119.1986,     5.0
 219, 2979.11,         0.010520,                  44.454025,     5.6601,     5.0
 220, 2979.12,         0.429809,                1816.199979,   231.2458,     5.0
 221, 2979.68,         1.494116,                6313.535186,   803.8643,     5.0
 222, 2979.87,         0.801484,                3386.749131,   431.2143,     5.0
 223, 2980.48,         2.568704,               10854.315613,  1382.0144,     5.0
 224, 2981.04,         0.425431,                1797.699909,   228.8903,     5.0
