../../../pdielec -matrix ptfe -sigma 5 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -csv command1.csv -masses program -program qe phonon.dynG
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
 336, 1239.76,        14.059161,               59408.391143,  7564.1113,     5.0
 338, 1242.59,        18.750281,               79231.188267, 10088.0282,     5.0
 339, 1242.74,        10.963274,               46326.409371,  5898.4616,     5.0
 340, 1254.07,         0.848569,                3585.713296,   456.5472,     5.0
 342, 1254.79,         0.867193,                3664.412201,   466.5675,     5.0
 343, 1255.74,         9.980690,               42174.405737,  5369.8121,     5.0
 344, 1278.79,         0.776089,                3279.439755,   417.5512,     5.0
 346, 1280.05,         0.461256,                1949.083843,   248.1651,     5.0
 347, 1280.19,         0.024965,                 105.490377,    13.4315,     5.0
 348, 1281.43,         0.001451,                   6.131244,     0.7807,     5.0
 349, 1281.70,         0.166904,                 705.268534,    89.7976,     5.0
 351, 1281.83,         1.211469,                5119.185033,   651.7949,     5.0
 353, 1294.02,         0.239575,                1012.348101,   128.8962,     5.0
 354, 1294.17,         0.001444,                   6.102446,     0.7770,     5.0
 355, 1294.53,         0.589920,                2492.764584,   317.3886,     5.0
 356, 1296.27,         0.546916,                2311.050291,   294.2521,     5.0
 357, 1296.64,         0.008748,                  36.964210,     4.7064,     5.0
 358, 1296.73,         0.098493,                 416.190994,    52.9911,     5.0
 360, 1310.88,         0.666887,                2817.996630,   358.7985,     5.0
 362, 1312.22,         0.015949,                  67.395751,     8.5811,     5.0
 363, 1312.25,         0.394720,                1667.928206,   212.3672,     5.0
 364, 1316.05,         0.636750,                2690.649395,   342.5841,     5.0
 365, 1316.05,         0.000000,                   0.000000,     0.0000,     5.0
 366, 1317.50,         0.158185,                 668.426940,    85.1068,     5.0
 367, 1317.57,         2.147255,                9073.440209,  1155.2663,     5.0
 368, 1337.18,         0.311594,                1316.671874,   167.6439,     5.0
 370, 1337.27,         0.014297,                  60.412089,     7.6919,     5.0
 371, 1337.40,         0.100200,                 423.403432,    53.9094,     5.0
 372, 1344.61,         0.643323,                2718.425785,   346.1207,     5.0
 374, 1344.82,         0.041216,                 174.163461,    22.1752,     5.0
 375, 1344.96,         0.310277,                1311.105697,   166.9352,     5.0
 376, 1356.25,         0.153771,                 649.776849,    82.7322,     5.0
 377, 1356.30,         1.313669,                5551.040945,   706.7805,     5.0
 378, 1357.36,         0.001623,                   6.856780,     0.8730,     5.0
 381, 1363.80,         3.715006,               15698.129861,  1998.7480,     5.0
 382, 1363.86,         0.072427,                 306.046050,    38.9670,     5.0
 383, 1363.99,         0.011347,                  47.949656,     6.1051,     5.0
 384, 1370.24,         0.742317,                3136.733998,   399.3814,     5.0
 385, 1370.25,         0.313685,                1325.508545,   168.7690,     5.0
 386, 1370.49,         4.938640,               20868.718726,  2657.0878,     5.0
 388, 1398.28,         0.006091,                  25.740052,     3.2773,     5.0
 389, 1398.61,         2.271525,                9598.556924,  1222.1262,     5.0
 391, 1399.04,         2.584832,               10922.466581,  1390.6916,     5.0
 393, 1409.15,         0.580141,                2451.445411,   312.1277,     5.0
 394, 1410.83,         0.036038,                 152.280477,    19.3890,     5.0
 395, 1410.96,         0.010470,                  44.242045,     5.6331,     5.0
 396, 1416.29,         1.227790,                5188.149963,   660.5758,     5.0
 397, 1416.65,         0.188773,                 797.680425,   101.5638,     5.0
 399, 1420.73,         2.080242,                8790.271875,  1119.2122,     5.0
 401, 1422.49,         0.004610,                  19.481012,     2.4804,     5.0
 402, 1423.22,         0.096272,                 406.805293,    51.7961,     5.0
 403, 1423.22,         2.339746,                9886.830782,  1258.8304,     5.0
 404, 1432.77,         2.705716,               11433.273551,  1455.7296,     5.0
 405, 1434.05,         0.054380,                 229.787141,    29.2574,     5.0
 406, 1435.22,         1.964166,                8299.780778,  1056.7609,     5.0
 409, 1438.67,         1.619679,                6844.117655,   871.4201,     5.0
 410, 1440.71,         0.398235,                1682.783884,   214.2587,     5.0
 411, 1441.17,         1.132885,                4787.119637,   609.5150,     5.0
 412, 1443.83,         1.817063,                7678.179731,   977.6162,     5.0
 414, 1444.50,         0.385216,                1627.769353,   207.2540,     5.0
 415, 1444.91,         0.003169,                  13.389322,     1.7048,     5.0
 416, 1449.36,         0.000008,                   0.032282,     0.0041,     5.0
 417, 1449.46,         0.381300,                1611.221233,   205.1471,     5.0
 419, 1452.87,         0.000408,                   1.724390,     0.2196,     5.0
 421, 1463.58,         0.270584,                1143.381562,   145.5799,     5.0
 422, 1464.44,         0.799862,                3379.898340,   430.3420,     5.0
 423, 1464.46,         0.056051,                 236.851037,    30.1568,     5.0
 424, 1468.37,         4.491994,               18981.370718,  2416.7832,     5.0
 425, 1469.06,         0.217652,                 919.711649,   117.1013,     5.0
 427, 1469.86,         0.074149,                 313.325805,    39.8939,     5.0
 428, 1473.35,         0.091283,                 385.727104,    49.1123,     5.0
 430, 1475.01,         3.218540,               13600.263763,  1731.6394,     5.0
 431, 1475.51,         0.018751,                  79.233310,    10.0883,     5.0
 433, 1476.04,         0.004342,                  18.346072,     2.3359,     5.0
 434, 1476.04,         0.009538,                  40.302117,     5.1314,     5.0
 435, 1476.63,         0.000030,                   0.126671,     0.0161,     5.0
 436, 1576.74,         0.246097,                1039.908004,   132.4052,     5.0
 437, 1576.97,         0.307285,                1298.465192,   165.3257,     5.0
 438, 1577.12,         0.000919,                   3.882253,     0.4943,     5.0
 440, 1593.28,         0.053236,                 224.954285,    28.6421,     5.0
 441, 1593.33,         2.949067,               12461.578566,  1586.6575,     5.0
 443, 1594.38,         1.254340,                5300.339918,   674.8602,     5.0
 444, 1679.34,        14.441063,               61022.154402,  7769.5820,     5.0
 445, 1681.40,        24.191919,              102225.371584, 13015.7386,     5.0
 446, 1682.89,         0.918402,                3880.798331,   494.1186,     5.0
 449, 1703.11,        33.433581,              141276.941697, 17987.9389,     5.0
 450, 1707.75,         0.848159,                3583.979797,   456.3265,     5.0
 451, 1708.44,        22.956905,               97006.697472, 12351.2763,     5.0
