,,,,,,  908.000000,   27.221155,         96.78988013,         38.02156014,         59.94162691,         59.94144559,         32.19057047,         33.79135861,          2.39929947,          2.24962156,          2.31226580,          2.31226543,          2.26632503,          2.25132870,          0.01877231,          0.00714048,          0.01141277,          0.01141273,          0.00606782,          0.00634845,         30.02771598,         11.79566095,         18.59605721,         18.59600096,          9.98667739,         10.48329967
,,,,,,  908.200000,   27.227151,        104.31569336,         40.61955602,         64.28562765,         64.28543011,         33.97802829,         35.93558598,          2.40284143,          2.25099013,          2.31443168,          2.31443130,          2.26750069,          2.25255085,          0.02024243,          0.00762903,          0.01224290,          0.01224286,          0.00640500,          0.00675164,         32.36249501,         12.60165308,         19.94372310,         19.94366182,         10.54121135,         11.14851643
,,,,,,  908.400000,   27.233147,        112.94292298,         43.56596170,         69.25696438,         69.25674821,         35.99543859,         38.36257670,          2.40662421,          2.25244252,          2.31673450,          2.31673412,          2.26873496,          2.25384260,          0.02192899,          0.00818325,          0.01319333,          0.01319329,          0.00678564,          0.00720811,         35.03897317,         13.51573452,         21.48601128,         21.48594421,         11.16708488,         11.90145660
,,,,,,  908.600000,   27.239143,        122.89383017,         46.92525922,         74.98123838,         74.98100070,         38.28432727,         41.12401786,          2.41067532,          2.25398809,          2.31918975,          2.31918936,          2.27003421,          2.25521165,          0.02387592,          0.00881533,          0.01428822,          0.01428818,          0.00721761,          0.00772761,         38.12610391,         14.55790992,         23.26188778,         23.26181404,         11.87718080,         12.75815536
,,,,,,  908.800000,   27.245139,        134.44768897,         50.77715313,         81.61607249,         81.61580981,         40.89580248,         44.28365504,          2.41502538,          2.25563741,          2.32181472,          2.32181432,          2.27140562,          2.25666670,          0.02613848,          0.00954034,          0.01555793,          0.01555788,          0.00771057,          0.00832219,         41.71052814,         15.75290651,         25.32025291,         25.32017142,         12.68735471,         13.73838891
,,,,,,  909.000000,   27.251134,        147.95844565,         55.22094349,         89.36098245,         89.36069050,         43.89324924,         47.92071821,          2.41970805,          2.25740236,          2.32462843,          2.32462802,          2.27285727,          2.25821754,          0.02878679,          0.01037705,          0.01704088,          0.01704082,          0.00827654,          0.00900682,         45.90205274,         17.13153074,         27.72300365,         27.72291308,         13.61727094,         14.86673725
,,,,,,  909.200000,   27.257130,        163.87867828,         60.38136958,         98.47075750,         98.47043104,         47.35591382,         52.13448910,          2.42475945,          2.25929620,          2.32765139,          2.32765098,          2.27439825,          2.25987512,          0.03191060,          0.01134905,          0.01878618,          0.01878612,          0.00893053,          0.00980025,         50.84108380,         18.73248126,         30.54918484,         30.54908356,         14.69151453,         16.17400114
,,,,,,  909.400000,   27.263126,        182.79229075,         66.41648057,        109.27370255,        109.27333504,         51.38371009,         57.05043869,          2.43021662,          2.26133352,          2.33090483,          2.33090441,          2.27603863,          2.26165155,          0.03562585,          0.01248628,          0.02085718,          0.02085710,          0.00969147,          0.01072621,         56.70876937,         20.60479063,         33.90064849,         33.90053448,         15.94108238,         17.69910622
,,,,,,  909.600000,   27.269122,        205.45926949,         73.52831194,        122.19658969,        122.19617296,         56.10371376,         62.82853627,          2.43611451,          2.26353005,          2.33440909,          2.33440866,          2.27778941,          2.26356000,          0.04008363,          0.01382698,          0.02333623,          0.02333615,          0.01058345,          0.01181496,         63.74088470,         22.81113753,         37.90979474,         37.90966546,         17.40539796,         19.49168074
,,,,,,  909.800000,   27.275118,        232.87688130,         81.97745204,        137.79874913,        137.79827281,         61.67899567,         69.67456865,          2.44247986,          2.26590198,          2.33818051,          2.33818006,          2.27966228,          2.26561425,          0.04548235,          0.01542055,          0.02633137,          0.02633127,          0.01163741,          0.01310543,         72.24681796,         25.43236590,         42.75014801,         42.75000023,         19.13505174,         21.61556720
,,,,,,  910.000000,   27.281114,        266.36259256,         92.10298274,        156.81822784,        156.81767869,         68.32069577,         77.85562575,          2.44931993,          2.26846482,          2.34222550,          2.34222504,          2.28166899,          2.26782786,          0.05208436,          0.01733124,          0.02998517,          0.02998507,          0.01289339,          0.01464819,         82.63529479,         28.57367116,         48.65067711,         48.65050674,         21.19554694,         24.15362654
,,,,,,  910.200000,   27.287110,        307.66374432,        104.34975050,        180.23280584,        180.23216681,         76.30455600,         87.72129778,          2.45660162,          2.27123083,          2.34652963,          2.34652915,          2.28382014,          2.27021246,          0.06023760,          0.01964344,          0.03448656,          0.03448644,          0.01440373,          0.01650945,         95.44840348,         32.37306076,         55.91472473,         55.91452647,         23.67242869,         27.21431426
,,,,,,  910.400000,   27.293105,        359.09480833,        119.30533855,        209.33632189,        209.33557087,         85.99347406,         99.73251910,          2.46421371,          2.27420442,          2.35103782,          2.35103732,          2.28612285,          2.27277443,          0.07040257,          0.02246859,          0.04008539,          0.04008524,          0.01623730,          0.01877650,        111.40417675,         37.01282423,         64.94368636,         64.94345336,         26.67828095,         30.94062885
,,,,,,  910.600000,   27.299101,        423.68757038,        137.74903472,        245.82217808,        245.82128636,         97.86784701,        114.50011864,          2.47189931,          2.27737360,          2.35561892,          2.35561841,          2.28857639,          2.27550886,          0.08318080,          0.02595454,          0.04710812,          0.04710795,          0.01848531,          0.02156506,        131.44318404,         42.73472480,         76.26291648,         76.26263984,         30.36214023,         35.52207149
,,,,,,  910.800000,   27.305097,        505.29513598,        160.71329924,        291.84128804,        291.84021849,        112.56504748,        132.83422052,          2.47913807,          2.28069441,          2.36000383,          2.36000331,          2.29116418,          2.27838848,          0.09933167,          0.03029703,          0.05596787,          0.05596766,          0.02126873,          0.02502854,        156.76079780,         49.85906891,         90.53970618,         90.53937436,         34.92174254,         41.20997196
,,,,,,  911.000000,   27.311093,        608.47831385,        189.55154826,        349.93973247,        349.93843792,        130.92696620,        155.80162272,          2.48495021,          2.28406312,          2.36368238,          2.36368185,          2.29383938,          2.28134373,          0.11974012,          0.03575234,          0.06714929,          0.06714903,          0.02474724,          0.02936879,        188.77194561,         58.80573513,        108.56394162,        108.56354001,         40.61827280,         48.33528949
