 
Percentage energies in vibrational modes
 Freq(cm-1),  %mol-cme,  %mol-rot,      %vib,    %mol-0,    %mol-1,    %mol-2,    %mol-3
    3030.19,      0.00,      0.00,    100.00,     48.15,     48.15,      1.85,      1.85
    3030.24,      0.00,      0.00,    100.00,     47.53,     47.53,      2.47,      2.47
    3042.07,      0.00,      0.00,    100.00,     49.97,     49.97,      0.03,      0.03
    3043.67,      0.00,      0.00,    100.00,     42.72,     42.72,      7.28,      7.28
    3044.93,      0.00,      0.00,    100.00,      9.03,      9.03,     40.97,     40.97
    3045.68,      0.00,      0.00,    100.00,      0.39,      0.39,     49.61,     49.61
    3049.01,      0.00,      0.00,    100.00,     49.89,     49.89,      0.11,      0.11
    3049.03,      0.00,      0.00,    100.00,     48.59,     48.59,      1.41,      1.41
    3051.32,      0.00,      0.00,    100.00,      7.93,      7.93,     42.07,     42.07
    3051.92,      0.00,      0.00,    100.00,      8.24,      8.24,     41.76,     41.76
    3052.09,      0.00,      0.00,    100.00,     41.71,     41.71,      8.29,      8.29
    3052.22,      0.00,      0.00,    100.00,     41.29,     41.29,      8.71,      8.71
    3058.31,      0.00,      0.00,    100.00,     47.72,     47.72,      2.28,      2.28
    3059.07,      0.00,      0.00,    100.00,     46.37,     46.37,      3.63,      3.63
    3067.42,      0.00,      0.00,    100.00,      9.17,      9.17,     40.83,     40.83
    3067.53,      0.00,      0.00,    100.00,      1.64,      1.64,     48.36,     48.36
    3067.96,      0.00,      0.00,    100.00,     48.29,     48.29,      1.71,      1.71
    3068.13,      0.00,      0.00,    100.00,     40.76,     40.76,      9.24,      9.24
    3081.22,      0.00,      0.00,    100.00,      0.03,      0.03,     49.97,     49.97
    3081.31,      0.00,      0.00,    100.00,      0.08,      0.08,     49.92,     49.92
    3210.67,      0.00,      0.00,    100.00,     49.81,     49.81,      0.19,      0.19
    3221.30,      0.00,      0.00,    100.00,     49.64,     49.64,      0.36,      0.36
