../../../pdielec -processors 4 -size 0 -size 0.1 -size 1 -size 3 -vmin 300 -vmax 800 -sphere -method maxwell -sigma 10 -csv command1.csv phonon -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   4,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   5,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/0.1mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),maxwell_sphere_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1/0.1mu),maxwell_sphere_real_dielectric(vf=0.1/1mu),maxwell_sphere_real_dielectric(vf=0.1/3mu),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1/0.1mu),maxwell_sphere_imag_dielectric(vf=0.1/1mu),maxwell_sphere_imag_dielectric(vf=0.1/3mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/0.1mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/1mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/3mu)
,,,,,,  309.400000,    9.275579,          0.40852524,          0.40857298,          0.37511794,          0.77847328,          2.49952730,          2.49958494,          2.50530846,          2.55107934,          0.00663359,          0.00663444,          0.00609816,         -0.01277049,          3.54245008,          3.54286406,          3.25276499,          6.75038524
,,,,,,  309.600000,    9.281574,          0.40957197,          0.40961995,          0.37605023,          0.78192830,          2.49979262,          2.49985039,          2.50558747,          2.55146724,          0.00664664,          0.00664750,          0.00610971,         -0.01281985,          3.55152665,          3.55194272,          3.26084911,          6.78034480
,,,,,,  309.800000,    9.287570,          0.41062171,          0.41066994,          0.37698515,          0.78539758,          2.50005846,          2.50011637,          2.50586705,          2.55185599,          0.00665973,          0.00666059,          0.00612129,         -0.01286940,          3.56062930,          3.56104747,          3.26895610,          6.81042804
,,,,,,  310.000000,    9.293566,          0.41167447,          0.41172294,          0.37792271,          0.78888119,          2.50032482,          2.50038287,          2.50614718,          2.55224560,          0.00667285,          0.00667372,          0.00613290,         -0.01291913,          3.56975811,          3.57017839,          3.27708601,          6.84063549
,,,,,,  310.200000,    9.299562,          0.41273026,          0.41277898,          0.37886293,          0.79237919,          2.50059171,          2.50064989,          2.50642788,          2.55263607,          0.00668601,          0.00668688,          0.00614453,         -0.01296904,          3.57891318,          3.57933558,          3.28523895,          6.87096771
,,,,,,  310.400000,    9.305558,          0.41378909,          0.41383805,          0.37980581,          0.79589163,          2.50085913,          2.50091745,          2.50670914,          2.55302741,          0.00669920,          0.00670007,          0.00615620,         -0.01301913,          3.58809461,          3.58851915,          3.29341499,          6.90142526
,,,,,,  310.600000,    9.311554,          0.41485097,          0.41490018,          0.38075137,          0.79941860,          2.50112707,          2.50118552,          2.50699096,          2.55341961,          0.00671243,          0.00671330,          0.00616790,         -0.01306941,          3.59730249,          3.59772917,          3.30161423,          6.93200868
,,,,,,  310.800000,    9.317550,          0.41591591,          0.41596536,          0.38169962,          0.80296015,          2.50139554,          2.50145413,          2.50727335,          2.55381268,          0.00672569,          0.00672657,          0.00617963,         -0.01311987,          3.60653692,          3.60696575,          3.30983674,          6.96271854
,,,,,,  311.000000,    9.323545,          0.41698392,          0.41703363,          0.38265055,          0.80651634,          2.50166454,          2.50172327,          2.50755631,          2.55420662,          0.00673899,          0.00673987,          0.00619139,         -0.01317052,          3.61579800,          3.61622899,          3.31808260,          6.99355540
,,,,,,  311.200000,    9.329541,          0.41805502,          0.41810497,          0.38360419,          0.81008724,          2.50193407,          2.50199294,          2.50783984,          2.55460144,          0.00675232,          0.00675320,          0.00620318,         -0.01322135,          3.62508581,          3.62551898,          3.32635192,          7.02451982
,,,,,,  311.400000,    9.335537,          0.41912921,          0.41917942,          0.38456055,          0.81367292,          2.50220413,          2.50226314,          2.50812393,          2.55499713,          0.00676568,          0.00676657,          0.00621501,         -0.01327237,          3.63440047,          3.63483583,          3.33464476,          7.05561238
,,,,,,  311.600000,    9.341533,          0.42020651,          0.42025697,          0.38551962,          0.81727345,          2.50247473,          2.50253388,          2.50840860,          2.55539371,          0.00677909,          0.00677998,          0.00622686,         -0.01332358,          3.64374206,          3.64417961,          3.34296123,          7.08683363
,,,,,,  311.800000,    9.347529,          0.42128693,          0.42133764,          0.38648144,          0.82088888,          2.50274586,          2.50280516,          2.50869385,          2.55579116,          0.00679253,          0.00679342,          0.00623875,         -0.01337498,          3.65311069,          3.65355045,          3.35130140,          7.11818416
,,,,,,  312.000000,    9.353525,          0.42237047,          0.42242144,          0.38744599,          0.82451928,          2.50301754,          2.50307697,          2.50897967,          2.55618950,          0.00680600,          0.00680690,          0.00625066,         -0.01342656,          3.66250645,          3.66294843,          3.35966536,          7.14966455
,,,,,,  312.200000,    9.359521,          0.42345716,          0.42350839,          0.38841330,          0.82816473,          2.50328975,          2.50334932,          2.50926606,          2.55658872,          0.00681951,          0.00682042,          0.00626261,         -0.01347834,          3.67192944,          3.67237366,          3.36805321,          7.18127537
