../../../../pdielec -processors 4 -vmin 300 -vmax 800 -matrix ptfe -sigma 5 -sphere -needle 0 0 1 -plate 1 0 0 -csv command1.csv -masses program -hessian crystal -program crystal ZnO_CPHF.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   6,  373.28,        16.258071,               68700.105030,  8747.1690,     5.0
   7,  398.07,        15.468640,               65364.283764,  8322.4391,     5.0
   8,  398.07,        15.468640,               65364.283764,  8322.4391,     5.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,  311.400000,    9.335537,          0.54563238,          3.36561652,          4.33754566,          2.46114355,          2.88590759,          3.17272147,          0.00340237,          0.02272595,          0.03070987,          1.84287428,         11.36737554,         14.65006786
,,,,,,  311.600000,    9.341533,          0.54736251,          3.38807187,          4.36446951,          2.46141596,          2.88772566,          3.17517870,          0.00341116,          0.02287009,          0.03089261,          1.84871779,         11.44321851,         14.74100320
,,,,,,  311.800000,    9.347529,          0.54909932,          3.41073994,          4.39162987,          2.46168907,          2.88955524,          3.17765053,          0.00341997,          0.02301563,          0.03107701,          1.85458388,         11.51977994,         14.83273738
,,,,,,  312.000000,    9.353525,          0.55084284,          3.43362340,          4.41902956,          2.46196289,          2.89139644,          3.18013709,          0.00342883,          0.02316257,          0.03126309,          1.86047264,         11.59706889,         14.92527985
,,,,,,  312.200000,    9.359521,          0.55259312,          3.45672500,          4.44667140,          2.46223741,          2.89324938,          3.18263852,          0.00343771,          0.02331094,          0.03145086,          1.86638419,         11.67509458,         15.01864022
,,,,,,  312.400000,    9.365516,          0.55435017,          3.48004750,          4.47455829,          2.46251265,          2.89511417,          3.18515494,          0.00344662,          0.02346075,          0.03164034,          1.87231866,         11.75386635,         15.11282824
,,,,,,  312.600000,    9.371512,          0.55611405,          3.50359370,          4.50269316,          2.46278860,          2.89699092,          3.18768651,          0.00345557,          0.02361203,          0.03183156,          1.87827614,         11.83339370,         15.20785381
,,,,,,  312.800000,    9.377508,          0.55788477,          3.52736648,          4.53107897,          2.46306527,          2.89887975,          3.19023336,          0.00346455,          0.02376479,          0.03202455,          1.88425675,         11.91368628,         15.30372695
,,,,,,  313.000000,    9.383504,          0.55966237,          3.55136872,          4.55971876,          2.46334266,          2.90078078,          3.19279562,          0.00347357,          0.02391905,          0.03221931,          1.89026062,         11.99475390,         15.40045788
,,,,,,  313.200000,    9.389500,          0.56144690,          3.57560339,          4.58861559,          2.46362076,          2.90269412,          3.19537343,          0.00348261,          0.02407484,          0.03241587,          1.89628785,         12.07660653,         15.49805695
