../../../../pdielec -vmin 300 -vmax 800 -matrix ptfe -sigma 5 -sphere -needle 0 0 1 -plate 1 0 0 -optical 5.73897 5.73897 5.67346 -csv command.csv -masses program -hessian crystal -program crystal ZnO_default.out
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   6,  373.28,        16.222525,               68549.901892,  8728.0446,     5.0
   7,  398.07,        15.559299,               65747.371760,  8371.2154,     5.0
   8,  398.07,        15.559299,               65747.371760,  8371.2154,     5.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,  319.000000,    9.563379,          0.55332205,          4.33051901,          5.47832706,          2.48277498,          3.01168589,          3.36625078,          0.00338289,          0.02916021,          0.03900041,          1.86884616,         14.62633532,         18.50305898
,,,,,,  319.200000,    9.569375,          0.55522125,          4.36305890,          5.51617629,          2.48304583,          3.01401747,          3.36937006,          0.00339256,          0.02937228,          0.03926344,          1.87526070,         14.73623885,         18.63089480
,,,,,,  319.400000,    9.575371,          0.55712862,          4.39594899,          5.55440208,          2.48331746,          3.01636597,          3.37251032,          0.00340227,          0.02958669,          0.03952919,          1.88170286,         14.84732521,         18.76000249
,,,,,,  319.600000,    9.581367,          0.55904422,          4.42919432,          5.59300953,          2.48358986,          3.01873157,          3.37567180,          0.00341201,          0.02980347,          0.03979769,          1.88817279,         14.95961135,         18.89039921
,,,,,,  319.800000,    9.587363,          0.56096808,          4.46279998,          5.63200379,          2.48386305,          3.02111445,          3.37885470,          0.00342180,          0.03002267,          0.04006898,          1.89467065,         15.07311453,         19.02210241
,,,,,,  320.000000,    9.593359,          0.56290026,          4.49677118,          5.67139013,          2.48413702,          3.02351482,          3.38205925,          0.00343163,          0.03024431,          0.04034310,          1.90119659,         15.18785232,         19.15512984
,,,,,,  320.200000,    9.599355,          0.56484080,          4.53111322,          5.71117390,          2.48441177,          3.02593286,          3.38528567,          0.00344150,          0.03046843,          0.04062009,          1.90775076,         15.30384261,         19.28949956
,,,,,,  320.400000,    9.605350,          0.56678975,          4.56583148,          5.75136052,          2.48468732,          3.02836877,          3.38853420,          0.00345141,          0.03069508,          0.04090000,          1.91433334,         15.42110361,         19.42522994
,,,,,,  320.600000,    9.611346,          0.56874715,          4.60093147,          5.79195553,          2.48496366,          3.03082276,          3.39180506,          0.00346136,          0.03092428,          0.04118286,          1.92094447,         15.53965387,         19.56233967
,,,,,,  320.800000,    9.617342,          0.57071305,          4.63641876,          5.83296458,          2.48524080,          3.03329502,          3.39509849,          0.00347136,          0.03115608,          0.04146872,          1.92758431,         15.65951226,         19.70084779
