../../../pdielec -processors 4 -matrix ptfe -sigma 5 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 qua_hf_2d_f_ir-int.out -optical_tensor 2.018 0 0 0 2.018 0 0 0 2.071 -masses program -csv command.csv -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  143.36,         0.000137,                   0.577966,     0.0736,     5.0
   4,  143.36,         0.000125,                   0.526914,     0.0671,     5.0
   5,  219.76,         0.000015,                   0.062798,     0.0080,     5.0
   6,  285.80,         0.220859,                 933.263851,   118.8268,     5.0
   7,  285.80,         0.219970,                 929.504963,   118.3482,     5.0
   8,  383.15,         0.000003,                   0.012340,     0.0016,     5.0
   9,  395.26,         5.330176,               22523.190806,  2867.7417,     5.0
  10,  428.18,         2.826487,               11943.604000,  1520.7069,     5.0
  11,  428.18,         2.822143,               11925.247717,  1518.3697,     5.0
  12,  492.09,        10.485444,               44307.294148,  5641.3799,     5.0
  13,  492.09,        10.459705,               44198.527799,  5627.5313,     5.0
  14,  502.25,         0.000007,                   0.030802,     0.0039,     5.0
  15,  544.53,        10.684156,               45146.971138,  5748.2909,     5.0
  16,  739.67,         0.596466,                2520.427559,   320.9108,     5.0
  17,  739.67,         0.602299,                2545.073342,   324.0488,     5.0
  18,  824.10,         3.254740,               13753.228986,  1751.1155,     5.0
  19,  847.31,         4.970620,               21003.852794,  2674.2936,     5.0
  20,  847.31,         4.960699,               20961.928146,  2668.9556,     5.0
  21, 1124.43,        41.149179,              173879.971699, 22139.0856,     5.0
  22, 1124.43,        41.187535,              174042.049294, 22159.7220,     5.0
  23, 1131.32,        43.940335,              185674.281211, 23640.7837,     5.0
  24, 1139.50,         0.000004,                   0.018537,     0.0024,     5.0
  25, 1233.44,         0.611846,                2585.415876,   329.1854,     5.0
  26, 1233.44,         0.606878,                2564.422943,   326.5125,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    8.800000,    0.263817,          0.00021645,          0.00019228,          0.00024990,          2.16200701,          2.15491079,          2.17178961,          0.00001947,          0.00001727,          0.00002253,          0.00031792,          0.00028243,          0.00036705
,,,,,,    9.000000,    0.269813,          0.00022641,          0.00020113,          0.00026140,          2.16200858,          2.15491219,          2.17179143,          0.00001991,          0.00001766,          0.00002304,          0.00033255,          0.00029542,          0.00038394
,,,,,,    9.200000,    0.275809,          0.00023659,          0.00021017,          0.00027315,          2.16201019,          2.15491362,          2.17179329,          0.00002035,          0.00001805,          0.00002355,          0.00034750,          0.00030870,          0.00040121
,,,,,,    9.400000,    0.281805,          0.00024700,          0.00021942,          0.00028517,          2.16201184,          2.15491508,          2.17179520,          0.00002080,          0.00001844,          0.00002406,          0.00036279,          0.00032228,          0.00041885
,,,,,,    9.600000,    0.287801,          0.00025763,          0.00022886,          0.00029744,          2.16201352,          2.15491657,          2.17179714,          0.00002124,          0.00001884,          0.00002458,          0.00037840,          0.00033615,          0.00043688
,,,,,,    9.800000,    0.293797,          0.00026848,          0.00023850,          0.00030998,          2.16201524,          2.15491809,          2.17179913,          0.00002168,          0.00001923,          0.00002509,          0.00039435,          0.00035032,          0.00045529
,,,,,,   10.000000,    0.299792,          0.00027956,          0.00024835,          0.00032277,          2.16201699,          2.15491965,          2.17180116,          0.00002213,          0.00001962,          0.00002560,          0.00041062,          0.00036477,          0.00047408
,,,,,,   10.200000,    0.305788,          0.00029087,          0.00025839,          0.00033582,          2.16201878,          2.15492123,          2.17180323,          0.00002257,          0.00002002,          0.00002612,          0.00042722,          0.00037952,          0.00049326
,,,,,,   10.400000,    0.311784,          0.00030240,          0.00026863,          0.00034913,          2.16202060,          2.15492285,          2.17180534,          0.00002301,          0.00002041,          0.00002663,          0.00044416,          0.00039456,          0.00051281
,,,,,,   10.600000,    0.317780,          0.00031415,          0.00027907,          0.00036271,          2.16202246,          2.15492450,          2.17180749,          0.00002346,          0.00002080,          0.00002714,          0.00046142,          0.00040990,          0.00053274
,,,,,,   10.800000,    0.323776,          0.00032613,          0.00028971,          0.00037654,          2.16202435,          2.15492618,          2.17180968,          0.00002390,          0.00002120,          0.00002766,          0.00047902,          0.00042553,          0.00055306
,,,,,,   11.000000,    0.329772,          0.00033833,          0.00030055,          0.00039063,          2.16202628,          2.15492789,          2.17181191,          0.00002434,          0.00002159,          0.00002817,          0.00049694,          0.00044145,          0.00057375
,,,,,,   11.200000,    0.335768,          0.00035076,          0.00031159,          0.00040498,          2.16202825,          2.15492963,          2.17181418,          0.00002479,          0.00002198,          0.00002868,          0.00051520,          0.00045767,          0.00059483
,,,,,,   11.400000,    0.341763,          0.00036342,          0.00032283,          0.00041959,          2.16203025,          2.15493141,          2.17181650,          0.00002523,          0.00002238,          0.00002920,          0.00053378,          0.00047418,          0.00061629
,,,,,,   11.600000,    0.347759,          0.00037630,          0.00033427,          0.00043446,          2.16203228,          2.15493321,          2.17181886,          0.00002567,          0.00002277,          0.00002971,          0.00055270,          0.00049098,          0.00063813
,,,,,,   11.800000,    0.353755,          0.00038940,          0.00034591,          0.00044959,          2.16203435,          2.15493505,          2.17182125,          0.00002612,          0.00002316,          0.00003022,          0.00057195,          0.00050808,          0.00066036
,,,,,,   12.000000,    0.359751,          0.00040273,          0.00035775,          0.00046498,          2.16203646,          2.15493692,          2.17182369,          0.00002656,          0.00002356,          0.00003074,          0.00059153,          0.00052547,          0.00068296
,,,,,,   12.200000,    0.365747,          0.00041628,          0.00036979,          0.00048063,          2.16203860,          2.15493882,          2.17182617,          0.00002701,          0.00002395,          0.00003125,          0.00061143,          0.00054315,          0.00070595
,,,,,,   12.400000,    0.371743,          0.00043006,          0.00038203,          0.00049654,          2.16204078,          2.15494075,          2.17182869,          0.00002745,          0.00002434,          0.00003176,          0.00063167,          0.00056113,          0.00072932
,,,,,,   12.600000,    0.377738,          0.00044407,          0.00039447,          0.00051271,          2.16204300,          2.15494271,          2.17183125,          0.00002789,          0.00002474,          0.00003228,          0.00065224,          0.00057940,          0.00075307
,,,,,,   12.800000,    0.383734,          0.00045830,          0.00040711,          0.00052915,          2.16204524,          2.15494471,          2.17183385,          0.00002834,          0.00002513,          0.00003279,          0.00067314,          0.00059796,          0.00077721
,,,,,,   13.000000,    0.389730,          0.00047275,          0.00041995,          0.00054584,          2.16204753,          2.15494673,          2.17183650,          0.00002878,          0.00002553,          0.00003331,          0.00069438,          0.00061682,          0.00080172
