../../../pdielec -matrix ptfe -method ap -method maxwell -sphere -plate -1 -1 -2 -vmin 0 -vmax 2000 -vf 0.1 calcite.gout -masses program -csv command1.csv
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  114.77,         2.386157,               10082.942949,  1283.8002,     5.0
   4,  114.77,         2.386165,               10082.976755,  1283.8045,     5.0
   5,  127.38,         3.359475,               14195.797145,  1807.4650,     5.0
   9,  249.29,         1.226152,                5181.227434,   659.6944,     5.0
  10,  249.29,         1.226152,                5181.226351,   659.6942,     5.0
  15,  320.71,         5.824938,               24613.856703,  3133.9336,     5.0
  16,  320.71,         5.824945,               24613.889414,  3133.9377,     5.0
  17,  338.14,         4.139440,               17491.616624,  2227.1018,     5.0
  20,  620.12,         3.383380,               14296.810138,  1820.3264,     5.0
  21,  620.12,         3.383372,               14296.778406,  1820.3224,     5.0
  22,  731.95,        26.890139,              113626.969350, 14467.4351,     5.0
  26, 1463.56,        16.971396,               71714.329831,  9130.9521,     5.0
  27, 1463.56,        16.971390,               71714.305879,  9130.9490,     5.0
,,,,,cm-1,thz,ap_noshape_real_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.1),ap_noshape_absorption_coeficient_cm-1(vf=0.1),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coeficient_cm-1(vf=0.1),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(-1 -1 -2)_real_dielectric(vf=0.1),maxwell_plate(-1 -1 -2)_imag_dielectric(vf=0.1),maxwell_plate(-1 -1 -2)_absorption_coeficient_cm-1(vf=0.1),maxwell_plate(-1 -1 -2)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1)
,,,,,   16.600000,    0.497655,          2.49089259,          0.00212963,          0.06112208,          0.04499066,          2.28260363,          0.00070831,          0.02123652,          0.01563175,          2.38131455,          0.00154096,          0.04523308,          0.03329511
,,,,,   16.800000,    0.503651,          2.49106375,          0.00215729,          0.06265995,          0.04612266,          2.28266058,          0.00071730,          0.02176489,          0.01602067,          2.38143840,          0.00156098,          0.04637135,          0.03413297
,,,,,   17.000000,    0.509647,          2.49123713,          0.00218503,          0.06421903,          0.04727026,          2.28271826,          0.00072631,          0.02230026,          0.01641475,          2.38156385,          0.00158104,          0.04752533,          0.03498238
,,,,,   17.200000,    0.515643,          2.49141272,          0.00221285,          0.06579942,          0.04843356,          2.28277665,          0.00073534,          0.02284265,          0.01681399,          2.38169091,          0.00160116,          0.04869509,          0.03584342
,,,,,   17.400000,    0.521639,          2.49159054,          0.00224075,          0.06740124,          0.04961262,          2.28283577,          0.00074438,          0.02339209,          0.01721842,          2.38181958,          0.00162134,          0.04988071,          0.03671613
,,,,,   17.600000,    0.527635,          2.49177059,          0.00226872,          0.06902458,          0.05080753,          2.28289561,          0.00075344,          0.02394859,          0.01762805,          2.38194985,          0.00164157,          0.05108228,          0.03760058
,,,,,   17.800000,    0.533631,          2.49195288,          0.00229677,          0.07066957,          0.05201837,          2.28295617,          0.00076251,          0.02451220,          0.01804291,          2.38208175,          0.00166186,          0.05229988,          0.03849683
,,,,,   18.000000,    0.539626,          2.49213740,          0.00232491,          0.07233631,          0.05324522,          2.28301746,          0.00077161,          0.02508293,          0.01846301,          2.38221527,          0.00168221,          0.05353359,          0.03940494
,,,,,   18.200000,    0.545622,          2.49232418,          0.00235312,          0.07402491,          0.05448817,          2.28307947,          0.00078072,          0.02566081,          0.01888838,          2.38235041,          0.00170262,          0.05478350,          0.04032497
,,,,,   18.400000,    0.551618,          2.49251321,          0.00238142,          0.07573550,          0.05574730,          2.28314222,          0.00078985,          0.02624587,          0.01931903,          2.38248719,          0.00172308,          0.05604969,          0.04125699
